2007-01-01,"[[['the', 'purchase', 'of', 'the', 'oil', 'asset', 'of', 'the', 'nations', 'energy', 'company', 'of', 'canada', 'be', 'part', '  ', '.'], [], ['of', 'china', ""'s"", 'aggressive', 'search', 'for', 'energy'], []]]"
2007-01-02,"[[['buckle', 'under', 'inventory', 'pressure']]]"
2007-01-03,"[[['outdated', 'law', 'leave', 'india', ""'s"", 'mineral', 'untapped', '.'], ['australia', 'warm', 'faster', 'than', 'world', '.'], ['europe', 'edge', 'higher'], ['as', 'bank', 'rally']]]"
2007-01-04,"[[['reshape', 'amaranth', 'portfolio']], [['how', '-PRON-', 'survive', 'a', 'major', 'record', 'label', 'deal'], ['for', 'leicester', 'paper', ""'s"", 'winter', 'fuel', 'campaign']]]"
2007-01-05,"[[['oil', 'price', 'extend', 'recent', 'fall', '.'], ['ask', 'the', 'expert', ':', 'where', 'next', 'for', 'commodity', '?']], [['a', 'bounce', 'in', 'technology', 'stock', 'and', 'sharply', 'low', 'oil', 'price', 'help', ' ', '.'], [], [], ['about', 'sluggish', 'consumer', 'spending']]]"
2007-01-08,"[[['as', 'russia', 'cut', 'european', 'supply']]]"
2007-01-09,"[[['production', 'and', 'price', 'fall', 'hit', 'bp', '.'], ['competition', 'be', 'the', 'key', 'to', 'europe', ""'s"", 'energy', 'security']], [['wall', 'street', 'overcome', 'early', 'loss', '  ', '..'], ['help', 'raise', 'investors’', 'confidence'], ['the', 'head', 'of', 'russia', ""'s"", 'oil', 'pipeline', 'monopoly', 'accuse', 'belarus', 'of', ' ', '.'], ['illegally', 'siphon', 'off', 'oil', 'on', 'saturday'], ['as', 'a', 'drop', 'in', 'oil', 'price', 'and', 'a', 'fresh', 'round', 'of', 'acquisition', 'activity']]]"
2007-01-10,"[[['be', 'party', 'over', 'for', 'commodity', '?', '.'], ['eu', ""'s"", 'plan', 'for', '‘', 'unbundling’', 'may', 'prove', 'a', 'catalyst'], ['on', 'collision', 'course', 'with', 'moscow']], [['the', 'russian', 'president', 'raise', 'the', 'possibility', 'of', ' ', '.'], ['cut', 'belarus', 'out', 'of', 'any', 'role', 'in', 'the', 'transshipment', 'of', 'oil', 'to', 'europe'], ['of']]]"
2007-01-11,"[[['president', 'nursultan', 'a.', 'nazarbayev', 'appoint', 'another', 'loyalist', ',', 'karim', 'masimov', ',', ',', ' ', '.'], ['to', 'replace', 'daniyal', 'akhmetov', ','], ['who', 'resign'], ['who', 'have', 'study', 'in', 'the', 'united', 'states'], ['mr.', 'masimov', ',', 'a', 'deputy', 'prime', 'minister', 'and', 'economist', ',', 'promise', 'continuity', 'for', '-PRON-', 'former', 'soviet', 'state', ',', ' ', '.'], ['where', 'world', 'power', 'be', 'compete'], ['-PRON-', 'move', 'will', 'also', 'be', 'closely', 'watch', 'by', 'western', 'oil', 'giant', 'like', 'chevron', ',', 'eni', 'and', 'shell', ',', ' ', '..'], ['which', 'have', 'invest', 'billion', 'of', 'dollar'], ['investor', 'fret', 'over', 'fall', 'oil', 'price', ',', 'but'], ['wall', 'street', 'still', 'manage', 'a', 'modest', 'gain', ' ', '.'], ['as', 'prime', 'minister'], ['for', '-PRON-', 'former', 'soviet', 'state', ','], ['for', 'access'], ['to', 'huge', 'energy', 'reserve'], ['by', 'western', 'oil', 'giant', 'like', 'chevron', ',', 'eni', 'and', 'shell', ','], ['like', 'chevron', ',', 'eni', 'and', 'shell', ','], ['in', 'kazakh', 'energy', 'project'], ['after', 'upbeat', 'news', 'from', 'alcoa', 'and', 'apple']]]"
2007-01-12,"[[['investor', 'regain', 'some', '  ', '.'], ['after', 'oil', 'price', 'fall', 'further', 'and'], ['a', 'drop', ' ', 'indicate'], ['that', 'the', 'economy', 'be', 'not', 'slow', 'too', 'quickly'], ['of', '-PRON-', 'swagger'], [], ['in', 'jobless', 'claim']]]"
2007-01-13,"[[['the', 'nation', ""'s"", 'oil', 'and', 'gas', 'company', 'angrily', 'denounce', 'an', 'effort', ' ', '.'], ['to', 'repeal', 'billion', 'of', 'dollar', 'worth', 'of', 'incentive']]]"
2007-01-14,"[[['in', 'full']]]"
2007-01-15,"[[['gazprom', 'launch', 'carbon', 'trading', 'venture'], ['in', 'full']]]"
2007-01-16,"[[['indonesia', 'tackle', 'confusion', 'about', 'gas', 'policy']], [['the', 'remark', 'today', 'quell', 'speculation', ' ', '..'], ['that', 'opec', 'would', 'take', 'step', 'soon'], [], ['venezuela', 'will', 'end', 'negotiation', ' ', 'over'], ['how', '-PRON-', 'will', 'take', 'a', 'majority', 'control'], [',', 'the', 'country', ""'s"", 'oil', 'minister', ',', 'rafael', 'ramírez', ',', 'say', 'on', 'monday', '.'], [], [], ['with', 'foreign', 'oil', 'company'], ['over'], ['of', '-PRON-', 'operation', 'along', 'the', 'orinoco', 'river']]]"
2007-01-17,"[[['a', 'seven', '-', 'count', 'indictment', 'be', 'unseal', 'against', 'the', 'former', 'head', 'of', 'the', 'oil', '-', 'for', '-', 'food', 'program', ',', ' ', '..'], ['who', 'be', 'accuse', 'of'], ['receive', 'kickback', 'from', 'sale', 'of', 'iraqi', 'oil'], ['a', 'top', 'interior', 'department', 'official', 'be', 'tell', 'nearly', 'three', 'year', 'ago', 'about', 'a', 'problem', 'with', 'oil', 'and', 'gas', 'royalty', '.'], ['against', 'the', 'former', 'head', 'of', 'the', 'oil', '-', 'for', '-', 'food', 'program', ',']]]"
2007-01-18,"[[['us', 'court', 'order', 'exxon', ' ', '.'], ['to', 'answer', 'aceh', 'suit'], ['ongc', 'to', 'hit', 'output', 'goal', 'a', 'decade', 'early'], ['against', 'the', 'former', 'head', 'of', 'the', 'oil', '-', 'for', '-', 'food', 'program', ',', 'who', 'be', 'accuse', 'of', 'receive', 'kickback', 'from', 'sale', 'of', 'iraqi', 'oil']], [['exxon', 'mobil', 'say', ' ', '.'], ['output', 'from', '-PRON-', '$', '17', 'billion', 'sakhalin', 'island', 'development', 'in', 'the', 'pacific', ' ', 'jump', '40', 'percent'], ['oil', 'and', 'natural', 'gas', 'production', 'from', 'the', 'sakhalin-1', 'development', 'have', 'rise', ',', ' ', '.'], ['accord'], ['which', 'operate', 'and'], ['own', 'a', '30', 'percent', 'stake', 'in', 'the', 'project'], ['exxon', ',', ',', 'expect', ' ', '.'], ['output', 'eventually', 'to', 'reach', 'the', 'equivalent', 'of', '317,000', 'barrel', 'a', 'day'], [], ['say', 'in', 'a', 'December', '13', 'note', 'to', 'client', 'after', 'an', 'analysts’', 'lunch', 'with', 'exxon', ""'s"", 'chief', 'executive', ',', 'rex', 'w.', 'tillerson', '.'], ['exxon', 'begin', ' ', '.'], ['produce', 'crude', 'from', 'the', 'chayvo', 'field', 'off', 'sakhalin', 'island', ""'s"", ' ', 'coastline', 'in', 'october', '2005'], ['ice', '-', 'choke'], ['exxon', ""'s"", 'partner', 'in', 'sakhalin-1', 'be', 'a', 'japanese', 'group', ' ', '..'], ['know', 'as', 'sodeco', ',', 'the', 'oil', 'and', 'natural', 'gas', 'corporation', 'of', 'india', 'and', 'the', ' ', 'russian', 'oil', 'company', 'rosneft'], ['state', '-', 'run'], ['the', 'bill', 'would', 'eliminate', '$', '14', 'billion', 'in', 'subsidy', 'and', 'tax', 'break', 'for', 'oil', 'company', 'and', ' ', '.'], ['channel', 'the', 'money'], ['off', 'russia'], [], ['in', 'the', 'last', 'month'], ['to', 'the', 'equivalent'], ['of', 'more', 'than', '200,000', 'barrel', 'of', 'crude', 'a', 'day'], ['to', 'stuart', 'mcgill', ',', 'senior', 'vice', 'president'], [], ['in', 'early', 'december'], ['to', 'renewable', '-', 'energy', 'project']]]"
2007-01-19,"[[['decline', 'oil', 'price', 'send', 'energy', 'share', 'down', 'and'], ['sale', 'forecast', 'from', 'technology', 'company', 'fall', 'below', 'analysts’', 'estimate', '.']]]"
2007-01-20,"[[['confront'], ['with', 'high', 'natural', 'gas', 'and', 'oil', 'price', 'after', 'a', 'new', 'year&#8217']], [['s', 'confrontation', 'with', 'russia', ',', 'president', 'aleksandr', 'g.', 'lukashenko', 'of', 'belarus', 'say', ' ', '.'], [], ['belarus', 'long', 'enjoy', 'discount', 'price', ',', ' ', '.'], ['subsidize', '-PRON-', 'industry', 'and'], ['generate', 'profit'], ['russia', 'more', 'than', 'double', 'the', 'price', 'of', 'natural', 'gas', '&', '#', '151'], [], ['for', 'energy', 'from', 'russia'], [], ['from', 'the', 'refining', 'and', 'export'], ['of', 'gasoline', 'and', 'other', 'oil', 'product']], [['compare', 'with', '$', '46', '&', '#', '151'], ['per', 'cubic', 'meter']], [['begin', 'January', '1', '.'], ['belarus', 'impose', 'a', 'retaliatory', 'fee', 'on', 'the', 'transit', 'of', 'oil', ',', 'but', ' ', '.'], ['back', 'down', 'last', 'week'], ['after', 'russia', 'turn', 'off', '-PRON-', 'main', 'oil', 'pipeline', 'through', 'belarus', ','], ['disrupt', 'supply', 'across', 'europe'], ['mr.', 'lukashenko', 'appear'], ['to', 'be', 'brace', 'the', 'country', 'for', 'austerity', 'as', ' ', 'measure'], ['energy', '-', 'save'], ['be', 'adopt', '.', '&', '#', '8220'], []], [['the', 'next', 'three', ',', 'four', 'year', 'will', 'not', 'be', 'an', 'easy', 'time,&#8221'], ['after', 'russia', 'turn', 'off', '-PRON-', 'main', 'oil', 'pipeline', 'through', 'belarus', ',', 'disrupt', 'supply', 'across', 'europe']], [['-PRON-', 'say', ','], ['accord', 'to', 'interfax', ',', '&', '#', '8220']], [['but', '-PRON-', 'will', 'have'], ['to', 'bear', 'it.&#8221']], []]"
2007-01-21,"[[['steamroll', 'opponent', ','], [], ['state', '-', 'control'], ['rather', 'than', ',', 'the', ' ', 'oil', 'company', 'choose', ' ', '..'], ['to', 'woo', '-PRON-'], ['the', 'search', 'for', 'gas', 'and', 'oil', 'have', 'reignite', ' ', '..'], [], ['it', 'be', 'barely', 'six', 'month', 'ago', ' ', '.'], ['that', 'wall', 'street', 'be', 'keep', 'a', 'nervous', 'eye'], ['be', 'enjoy', 'an', ' ', 'satisfaction'], ['-PRON-', '-', 'tell', '-', '-PRON-', '-', 'so'], ['rather', 'than'], [], [], ['like', 'interoil', ',', 'a', 'leftover', 'sliver', 'of', 'enron', ','], [], ['on', 'the', 'rise', 'price', ' ', 'in', 'those', 'sector'], ['of', 'oil', 'and', 'other', 'commodity', 'and', 'investor']]]"
2007-01-22,[[]]
2007-01-23,"[[['bush', 'vow'], ['to', 'cut', 'us', 'petrol', 'demand']], []]"
2007-01-24,"[[['conocophillips', 'hit', 'by', 'fall', 'in', 'gas', 'price', '.'], ['how', 'trader', 'may', 'distort', 'energy', 'cost']], [['a', 'federal', 'jury', 'agree', ' ', '.'], ['that', 'kerr', '-', 'mcgee', 'cheat', 'the', 'government', ' ', 'out', 'of', 'million', 'of', 'dollar', 'in', 'royalty', 'on', 'oil'], ['-PRON-', 'produce', 'in', ' ', 'coastal', 'water'], ['publicly', 'own'], [], ['in', ' ', 'coastal', 'water']]]"
2007-01-25,"[[['carmaker', 'drive', 'europe', 'lower', '.'], ['russia', 'and', 'india', 'build', 'energy', 'tie'], ['that', 'kerr', '-', 'mcgee', 'cheat', 'the', 'government', '-PRON-', 'produce', ' ', 'out', 'of', 'million', 'of', 'dollar', 'in', 'royalty', 'on', 'oil'], ['in', 'publicly', 'own', 'coastal', 'water']], [['americans', 'may', 'have', 'a', 'love', 'affair', 'with', 'renewable', 'and', 'the', 'idea', 'of', ',', 'but'], ['cut', 'oil', 'import', 'and'], ['conserve', 'energy'], ['-PRON-', 'be', 'a', 'fickle', 'one', '.']], [['stay', 'away'], ['before', '-PRON-', 'come', 'back']]]"
2007-01-28,"[[['saudi', 'arabia', 'have', 'signal', '  ', '.'], ['that', '-PRON-', 'be', 'commit', 'to'], ['keep', 'oil', 'at', 'around', '$', '50', 'a', 'barrel', '--', 'down', '$', '27', 'a', 'barrel', 'from', '-PRON-', 'summer', 'peak'], [], ['to']]]"
2007-01-29,"[[['shell', 'iran', 'plan', 'will', 'come'], ['under', 'us', 'scrutiny']]]"
2007-01-30,"[[['crude', 'rebound', 'strongly', 'on', 'saudi', 'comment', '.'], ['as', 'commodity', 'price', 'ease'], ['for', 'india', ""'s"", 'oil', 'major']]]"
2007-01-31,"[[['oil', 'price', 'settle', 'just', 'below', '$', '57', 'a', 'barrel', '--', 'a', 'gain', 'of', 'almost', '$', '3', '--', 'and'], ['the', 'price', 'of', 'natural', 'gas', 'soar', 'more', 'than', '11', 'percent', ' ', '.'], ['on', 'expectation'], ['of', 'more', 'arctic', 'weather', 'in', 'the', 'united', 'states']]]"
2007-02-01,"[[['shell', 'report', 'record', 'uk', 'profit', 'of', '£', '12.9bn', '.'], ['exxon', 'report', 'large', 'profit', 'in', 'us', 'history', '.'], ['while', 'nickel', 'slip']]]"
